year_film,year_ceremony,ceremony,category,film
1985,1986,58,DOCUMENTARY (Short Subject),Witness to War: Dr. Charlie Clements
1985,1986,58,FOREIGN LANGUAGE FILM,The Official Story
1985,1986,58,BEST PICTURE,Out of Africa
1985,1986,58,SHORT FILM (Animated),Anna & Bella
1985,1986,58,SHORT FILM (Live Action),Molly's Pilgrim
1986,1987,59,DOCUMENTARY (Feature),Artie Shaw: Time Is All You've Got
1986,1987,59,DOCUMENTARY (Feature),Down and Out in America
1986,1987,59,DOCUMENTARY (Short Subject),"Women--for America, for the World"
1986,1987,59,FOREIGN LANGUAGE FILM,The Assault
1986,1987,59,BEST PICTURE,Platoon
1986,1987,59,SHORT FILM (Animated),A Greek Tragedy
1986,1987,59,SHORT FILM (Live Action),Precious Images
1987,1988,60,DOCUMENTARY (Feature),The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table
1987,1988,60,DOCUMENTARY (Short Subject),Young at Heart
1987,1988,60,FOREIGN LANGUAGE FILM,Babette's Feast
1987,1988,60,BEST PICTURE,The Last Emperor
1987,1988,60,SHORT FILM (Animated),The Man Who Planted Trees
1987,1988,60,SHORT FILM (Live Action),Ray's Male Heterosexual Dance Hall
1988,1989,61,DOCUMENTARY (Feature),Hotel Terminus: The Life and Times of Klaus Barbie
1988,1989,61,DOCUMENTARY (Short Subject),You Don't Have to Die
1988,1989,61,FOREIGN LANGUAGE FILM,Pelle the Conqueror
1988,1989,61,BEST PICTURE,Rain Man
1988,1989,61,SHORT FILM (Animated),Tin Toy
1988,1989,61,SHORT FILM (Live Action),The Appointments of Dennis Jennings
1989,1990,62,DOCUMENTARY (Feature),Common Threads: Stories from the Quilt
1989,1990,62,DOCUMENTARY (Short Subject),The Johnstown Flood
1989,1990,62,FOREIGN LANGUAGE FILM,Cinema Paradiso
1989,1990,62,BEST PICTURE,Driving Miss Daisy
1989,1990,62,SHORT FILM (Animated),Balance
1989,1990,62,SHORT FILM (Live Action),Work Experience
1990,1991,63,DOCUMENTARY (Feature),American Dream
1990,1991,63,DOCUMENTARY (Short Subject),Days of Waiting
1990,1991,63,FOREIGN LANGUAGE FILM,Journey of Hope
1990,1991,63,BEST PICTURE,Dances With Wolves
1990,1991,63,SHORT FILM (Animated),Creature Comforts
1990,1991,63,SHORT FILM (Live Action),The Lunch Date
1991,1992,64,DOCUMENTARY (Feature),In the Shadow of the Stars
